variant,n_train,run_idx,seed,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,train_accuracy,heldout_accuracy,generalization_gap,split_signature,data_signature,hyperparameter_signature,source_type,train_time_s
no_caim,3,1,301,0.6649874055415617,0.7796082556555425,0.6649874055415618,0.6652862240916748,1.0,0.6649873852729797,0.33501261472702026,96589d2ef085d70d04b9d561e9e7875effb6194d1ae70e20489afb03ee08a0fc,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,87.80682720000004
full,3,2,302,0.6628283555235697,0.7863114235396672,0.6628283555235697,0.6693029542036465,1.0,0.6628283262252808,0.33717167377471924,7d8e95b376d78e786596d417d2b855f48a86b608eb52436ea1a1fcc023c66aaa,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,95.27299729999959
no_caim,3,2,302,0.6390788053256568,0.800095303883119,0.6390788053256566,0.6413145444579368,1.0,0.6390787959098816,0.3609212040901184,7d8e95b376d78e786596d417d2b855f48a86b608eb52436ea1a1fcc023c66aaa,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,85.9594289000006
full,3,3,303,0.8028067650233897,0.8149700081112131,0.8028067650233897,0.8027729287951819,1.0,0.8028067946434021,0.1971932053565979,f2386058b75658017496a4df9c7c4b79d284a96929827036ef2fd7babd09ad0a,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,94.50960250000026
no_caim,3,3,303,0.7373155811442965,0.7021938754234845,0.7373155811442965,0.6934591415450598,1.0,0.7373155951499939,0.2626844048500061,f2386058b75658017496a4df9c7c4b79d284a96929827036ef2fd7babd09ad0a,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,87.66906819999986
full,3,4,304,0.7707808564231738,0.8345859418085666,0.7707808564231737,0.7565111543316033,1.0,0.7707808613777161,0.22921913862228394,75c252de220218ebb6b70ae0135534f5b8487c8f169e1a0cda3afa29d8fb6cd2,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,92.7330922000001
no_caim,3,4,304,0.7571068729758906,0.7843869157256876,0.7571068729758906,0.703186157044178,1.0,0.7571069002151489,0.24289309978485107,75c252de220218ebb6b70ae0135534f5b8487c8f169e1a0cda3afa29d8fb6cd2,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,85.43373809999957
full,3,5,305,0.8136020151133502,0.8165335933097274,0.8136020151133501,0.8128809261423026,1.0,0.8136020302772522,0.1863979697227478,036db9b74e95fcad5bc5a071c7f113376509ae4f1f2fd361a4627da1d2112c3a,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,90.63308440000037
no_caim,3,5,305,0.6750629722921915,0.7033951219076702,0.6750629722921914,0.6464812849473697,1.0,0.6750629544258118,0.32493704557418823,036db9b74e95fcad5bc5a071c7f113376509ae4f1f2fd361a4627da1d2112c3a,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,85.01739379999981
full,3,6,306,0.8744152572867938,0.898055986107124,0.8744152572867938,0.8715222097094513,1.0,0.8744152784347534,0.12558472156524658,906c085ae2cb4d88ecc42515daafc2fcb4ee685283c7c6c223094be5670087e7,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,101.30016879999948
no_caim,3,6,306,0.7617848146815401,0.8169280284105619,0.7617848146815401,0.7555438020057584,1.0,0.7617847919464111,0.23821520805358887,906c085ae2cb4d88ecc42515daafc2fcb4ee685283c7c6c223094be5670087e7,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,84.5315258999999
full,3,7,307,0.9276718243972653,0.9315050485357022,0.9276718243972653,0.9269988657257553,1.0,0.9276718497276306,0.07232815027236938,3044cbd7471ae046847e7fea101b715f2ca4d8b9d5ef07dc6e4d1dfe56868daa,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,91.79437449999932
