case,load,n_train,seed,snr_db,method,accuracy,macro_precision,macro_recall,macro_f1
UO,held-out,10,20260810,,TF-SVM late fusion,0.9468864468864469,0.9529554140888933,0.946886446886447,0.9463607829071119
UO,held-out,15,20260810,,TF-SVM early fusion,0.9899814471243042,0.9904089494431544,0.9899814471243042,0.990058055813653
UO,held-out,15,20260810,,TF-SVM late fusion,0.9918367346938776,0.9918757442397161,0.9918367346938776,0.9918404211305384
UO,held-out,20,20260810,,TF-SVM early fusion,0.9966165413533835,0.9966262382145841,0.9966165413533835,0.9966160148839932
UO,held-out,20,20260810,,TF-SVM late fusion,0.9951127819548872,0.9951312421067977,0.9951127819548873,0.9951032045307339
UO,held-out,25,20260810,,TF-SVM early fusion,0.9965714285714286,0.9965823797718282,0.9965714285714286,0.9965693507949889
UO,held-out,25,20260810,,TF-SVM late fusion,0.9942857142857143,0.9944071529254108,0.9942857142857143,0.9942790857626814
UO,held-out,30,20260810,,TF-SVM early fusion,0.9965250965250966,0.9965333379824244,0.9965250965250966,0.9965229805664697
UO,held-out,30,20260810,,TF-SVM late fusion,0.9953667953667954,0.9954190426113325,0.9953667953667954,0.9953617898749295
UO,held-out,5,20260811,,TF-SVM early fusion,0.9573236889692586,0.9585851435457204,0.9573236889692586,0.9566148351574437
UO,held-out,5,20260811,,TF-SVM late fusion,0.9352622061482821,0.9403698495644701,0.9352622061482821,0.9305381553346133
UO,held-out,10,20260811,,TF-SVM early fusion,0.9930402930402931,0.9931052919724239,0.9930402930402931,0.9930407662755975
UO,held-out,10,20260811,,TF-SVM late fusion,0.9875457875457876,0.9878969500095635,0.9875457875457876,0.9875260388303909
UO,held-out,15,20260811,,TF-SVM early fusion,0.9940630797773655,0.9941489727204013,0.9940630797773655,0.9940621774600782
UO,held-out,15,20260811,,TF-SVM late fusion,0.9873840445269016,0.9875531829630383,0.9873840445269016,0.9873345203640562
UO,held-out,20,20260811,,TF-SVM early fusion,0.9947368421052631,0.9948109021434578,0.9947368421052631,0.9947330277505796
UO,held-out,20,20260811,,TF-SVM late fusion,0.9943609022556391,0.9943852090436736,0.9943609022556392,0.9943588180793453
UO,held-out,25,20260811,,TF-SVM early fusion,0.9950476190476191,0.9951145934320321,0.9950476190476191,0.995045810126124
UO,held-out,25,20260811,,TF-SVM late fusion,0.9916190476190476,0.9917066116576452,0.9916190476190476,0.991605606137194
UO,held-out,30,20260811,,TF-SVM early fusion,0.9961389961389961,0.9961678130515432,0.9961389961389961,0.996137863894152
UO,held-out,30,20260811,,TF-SVM late fusion,0.9934362934362935,0.9935129748902124,0.9934362934362936,0.9934358922183645
UO,held-out,5,20260812,,TF-SVM early fusion,0.969258589511754,0.971892016842712,0.969258589511754,0.9691615212453601
UO,held-out,5,20260812,,TF-SVM late fusion,0.9743218806509946,0.9769362400097575,0.9743218806509946,0.974224931431138
UO,held-out,10,20260812,,TF-SVM early fusion,0.9908424908424909,0.9910762594166782,0.9908424908424909,0.9908545232931758
UO,held-out,10,20260812,,TF-SVM late fusion,0.995970695970696,0.995991105681819,0.995970695970696,0.9959725215465032
UO,held-out,15,20260812,,TF-SVM early fusion,0.9881261595547309,0.9886280564295785,0.9881261595547309,0.9881423905113891
UO,held-out,15,20260812,,TF-SVM late fusion,0.9948051948051948,0.9948563334485977,0.9948051948051947,0.9948015379629059
UO,held-out,20,20260812,,TF-SVM early fusion,0.9969924812030075,0.9970257269772376,0.9969924812030075,0.9969953797305033
UO,held-out,20,20260812,,TF-SVM late fusion,0.9954887218045113,0.9955402423866573,0.9954887218045113,0.9954889860480133
UO,held-out,25,20260812,,TF-SVM early fusion,0.9980952380952381,0.998108350325099,0.998095238095238,0.9980952143912033
UO,held-out,25,20260812,,TF-SVM late fusion,0.9958095238095238,0.9959094856511269,0.9958095238095239,0.9958088457631755
UO,held-out,30,20260812,,TF-SVM early fusion,0.9980694980694981,0.9980829657816599,0.998069498069498,0.9980694733914349
UO,held-out,30,20260812,,TF-SVM late fusion,0.9992277992277993,0.999231950844854,0.9992277992277993,0.9992277935871388
UO,held-out,5,20260813,,TF-SVM early fusion,0.8376130198915009,0.8622554909915042,0.8376130198915008,0.8301289537773942
UO,held-out,5,20260813,,TF-SVM late fusion,0.8462929475587704,0.8732698809263822,0.8462929475587703,0.8373195999786974
UO,held-out,10,20260813,,TF-SVM early fusion,0.9805860805860805,0.9815139142866205,0.9805860805860807,0.9806398557355712
UO,held-out,10,20260813,,TF-SVM late fusion,0.9901098901098901,0.9901269555197673,0.9901098901098901,0.9901036056211839
UO,held-out,15,20260813,,TF-SVM early fusion,0.9877551020408163,0.9880310377701166,0.9877551020408164,0.9877569075412568
UO,held-out,15,20260813,,TF-SVM late fusion,0.9888682745825603,0.9889094372244915,0.9888682745825602,0.9888399781092335
UO,held-out,20,20260813,,TF-SVM early fusion,0.9921052631578947,0.9922092426337311,0.9921052631578947,0.9921107740721918
UO,held-out,20,20260813,,TF-SVM late fusion,0.9939849624060151,0.9940498540034882,0.993984962406015,0.9939816421347549
UO,held-out,25,20260813,,TF-SVM early fusion,0.9988571428571429,0.9988662131519275,0.9988571428571429,0.998857124571136
UO,held-out,25,20260813,,TF-SVM late fusion,0.993904761904762,0.9939335725244342,0.993904761904762,0.9939025668793807
UO,held-out,30,20260813,,TF-SVM early fusion,0.9988416988416988,0.9988468911606029,0.9988416988416988,0.9988416924959598
